Player Name,Position,Team,Goals,Shots On Target,Goals Per Shot,Assists
Brenden Aaronson,"MF,FW",Leeds United,1,9.0,0.02,3
George Abbott,MF,Tottenham,0,0.0,0.0,0
Che Adams,FW,Southampton,5,14.0,0.11,3
Tyler Adams,MF,Leeds United,0,0.0,0.0,0
Tosin Adarabioyo,DF,Fulham,1,4.0,0.06,0
Nayef Aguerd,DF,West Ham,2,2.0,0.17,0
Naouirou Ahamada,"MF,FW",Crystal Palace,0,0.0,0.0,0
Rayan Aït Nouri,DF,Wolves,1,5.0,0.1,0
Kristoffer Ajer,DF,Brentford,0,0.0,0.0,0
Manuel Akanji,DF,Manchester City,0,2.0,0.0,1
Nathan Aké,DF,Manchester City,1,2.0,0.11,0
Marc Albrighton,"FW,MF",Leicester City,1,1.0,0.5,0
Thiago Alcántara,MF,Liverpool,0,1.0,0.0,0
Carlos Alcaraz,"MF,FW",Southampton,4,10.0,0.17,2
Trent Alexander-Arnold,DF,Liverpool,2,8.0,0.05,9
Alisson,GK,Liverpool,0,0.0,0.0,1
Dele Alli,MF,Everton,0,0.0,0.0,0
Miguel Almirón,FW,Newcastle Utd,11,20.0,0.16,2
Julián Álvarez,"FW,MF",Manchester City,9,20.0,0.17,0
Daniel Amartey,DF,Leicester City,0,2.0,0.0,0
Samuel Amo-Ameyaw,MF,Southampton,0,0.0,0.0,0
Joachim Andersen,DF,Crystal Palace,1,9.0,0.05,0
Elliot Anderson,"MF,FW",Newcastle Utd,0,4.0,0.0,1
Jaidon Anthony,"MF,FW",Bournemouth,3,13.0,0.14,1
Michail Antonio,FW,West Ham,5,13.0,0.13,3
Antony,FW,Manchester Utd,4,24.0,0.06,2
Cameron Archer,"FW,MF",Aston Villa,0,0.0,0.0,0
Alphonse Areola,GK,West Ham,0,0.0,0.0,0
Joe Aribo,"MF,FW",Southampton,2,8.0,0.14,0
Adam Armstrong,"FW,MF",Southampton,2,12.0,0.08,1
Stuart Armstrong,"MF,FW",Southampton,2,6.0,0.09,1
Kepa Arrizabalaga,GK,Chelsea,0,0.0,0.0,0
Pierre-Emerick Aubameyang,FW,Chelsea,1,7.0,0.06,0
Ludwig Augustinsson,DF,Aston Villa,0,1.0,0.0,0
Serge Aurier,DF,Nott'ham Forest,1,3.0,0.11,0
Taiwo Awoniyi,FW,Nott'ham Forest,10,15.0,0.29,1
Yasin Ayari,MF,Brighton,0,0.0,0.0,0
André Ayew,"FW,MF",Nott'ham Forest,0,1.0,0.0,0
Jordan Ayew,"FW,MF",Crystal Palace,4,10.0,0.13,3
Luke Ayling,DF,Leeds United,2,5.0,0.08,1
César Azpilicueta,DF,Chelsea,0,1.0,0.0,0
Benoît Badiashile,DF,Chelsea,1,2.0,0.17,0
Leon Bailey,"FW,MF",Aston Villa,4,14.0,0.08,4
Stefan Bajcetic,MF,Liverpool,1,3.0,0.17,0
Dominic Ballard,"FW,MF",Southampton,0,0.0,0.0,0
Patrick Bamford,FW,Leeds United,4,16.0,0.08,2
Shandon Baptiste,MF,Brentford,0,1.0,0.0,1
Harvey Barnes,"FW,MF",Leicester City,13,34.0,0.18,1
Gavin Bazunu,GK,Southampton,0,0.0,0.0,0
Mads Bech Sørensen,"DF,MF",Brentford,0,0.0,0.0,0
Jan Bednarek,DF,Southampton,0,0.0,0.0,0
Jan Bednarek,DF,Southampton,0,0.0,0.0,0
Jan Bednarek,DF,Southampton,0,0.0,0.0,0
Jan Bednarek,DF,Southampton,0,0.0,0.0,0
Jan Bednarek,DF,Aston Villa,0,0.0,0.0,0
Jan Bednarek,DF,Aston Villa,0,0.0,0.0,0
Jan Bednarek,DF,Aston Villa,0,0.0,0.0,0
Jan Bednarek,DF,Aston Villa,0,0.0,0.0,0
Donny van de Beek,MF,Manchester Utd,0,0.0,0.0,0
Asmir Begović,GK,Everton,0,0.0,0.0,0
Armel Bella Kotchap,DF,Southampton,0,2.0,0.0,2
Saïd Benrahma,"FW,MF",West Ham,6,23.0,0.03,3
Rodrigo Bentancur,MF,Tottenham,5,9.0,0.33,2
Daniel Bentley,GK,Wolves,0,0.0,0.0,0
Victor Bernth Kristiansen,DF,Leicester City,0,0.0,0.0,1
Owen Bevan,DF,Bournemouth,0,0.0,0.0,0
Giulian Biancone,DF,Nott'ham Forest,0,0.0,0.0,0
Philip Billing,"MF,FW",Bournemouth,7,18.0,0.18,1
Yves Bissouma,MF,Tottenham,0,0.0,0.0,0
Willy Boly,DF,Nott'ham Forest,0,1.0,0.0,1
Sven Botman,DF,Newcastle Utd,0,7.0,0.0,0
Jarrod Bowen,"FW,MF",West Ham,6,21.0,0.07,5
James Bree,DF,Southampton,0,1.0,0.0,0
Armando Broja,FW,Chelsea,1,5.0,0.17,0
David Brooks,"FW,MF",Bournemouth,0,1.0,0.0,0
Lewis Brunt,DF,Leicester City,0,0.0,0.0,0
Bryan,"MF,FW",Tottenham,0,1.0,0.0,1
Emi Buendía,"MF,FW",Aston Villa,5,11.0,0.1,2
Hugo Bueno,DF,Wolves,0,1.0,0.0,1
Facundo Buonanotte,"FW,MF",Brighton,1,3.0,0.09,1
Dan Burn,DF,Newcastle Utd,1,4.0,0.05,0
Cafú,MF,Nott'ham Forest,0,0.0,0.0,0
Moisés Caicedo,MF,Brighton,1,8.0,0.04,1
Tom Cairney,MF,Fulham,2,2.0,0.1,0
Duje Ćaleta-Car,DF,Southampton,1,2.0,0.2,0
Dominic Calvert-Lewin,FW,Everton,2,9.0,0.03,1
Chem Campbell,"FW,MF",Wolves,0,0.0,0.0,0
João Cancelo,DF,Manchester City,2,3.0,0.12,1
Thomas Cannon,FW,Everton,0,1.0,0.0,0
Sergi Canós,"FW,DF",Brentford,0,0.0,0.0,0
Diego Carlos,DF,Aston Villa,0,0.0,0.0,0
Fabio Carvalho,"MF,FW",Liverpool,2,4.0,0.18,0
Casemiro,MF,Manchester Utd,4,11.0,0.12,3
Matty Cash,DF,Aston Villa,0,1.0,0.0,1
Timothy Castagne,DF,Leicester City,2,5.0,0.11,3
Jonny Castro,DF,Wolves,1,2.0,0.11,0
Julio César Enciso,"FW,MF",Brighton,4,18.0,0.11,2
Nathaniel Chalobah,MF,Fulham,0,1.0,0.0,0
Trevoh Chalobah,DF,Chelsea,0,2.0,0.0,0
Calum Chambers,"DF,MF",Aston Villa,0,0.0,0.0,0
Shea Charles,DF,Manchester City,0,0.0,0.0,0
Ben Chilwell,"DF,MF",Chelsea,2,4.0,0.13,2
Ryan Christie,"MF,FW",Bournemouth,1,9.0,0.03,1
Carney Chukwuemeka,"MF,FW",Chelsea,0,1.0,0.0,0
Bobby Clark,MF,Liverpool,0,0.0,0.0,0
Nathaniel Clyne,DF,Crystal Palace,0,0.0,0.0,0
Conor Coady,DF,Everton,1,2.0,0.25,1
Jack Colback,MF,Nott'ham Forest,0,0.0,0.0,0
Séamus Coleman,DF,Everton,1,2.0,0.14,0
Nathan Collins,DF,Wolves,0,0.0,0.0,0
Levi Colwill,DF,Brighton,0,0.0,0.0,2
Lewis Cook,MF,Bournemouth,0,0.0,0.0,2
Steve Cook,DF,Nott'ham Forest,0,0.0,0.0,0
Liam Cooper,DF,Leeds United,1,2.0,0.1,0
Maxwel Cornet,FW,West Ham,0,2.0,0.0,0
