Player Name,Position,Team,Appearances,Minutes Played
Brenden Aaronson,"MF,FW",Leeds United,36,"2,372"
George Abbott,MF,Tottenham,1,1
Che Adams,FW,Southampton,28,"1,992"
Tyler Adams,MF,Leeds United,24,"2,156"
Tosin Adarabioyo,DF,Fulham,25,"2,085"
Nayef Aguerd,DF,West Ham,18,"1,595"
Naouirou Ahamada,"MF,FW",Crystal Palace,8,94
Rayan Aït Nouri,DF,Wolves,21,"1,076"
Kristoffer Ajer,DF,Brentford,9,763
Manuel Akanji,DF,Manchester City,29,"2,287"
Nathan Aké,DF,Manchester City,26,"1,873"
Marc Albrighton,"FW,MF",Leicester City,6,237
Thiago Alcántara,MF,Liverpool,18,"1,254"
Carlos Alcaraz,"MF,FW",Southampton,18,"1,029"
Trent Alexander-Arnold,DF,Liverpool,37,"2,923"
Alisson,GK,Liverpool,37,"3,330"
Dele Alli,MF,Everton,2,40
Miguel Almirón,FW,Newcastle Utd,34,"2,491"
Julián Álvarez,"FW,MF",Manchester City,31,"1,465"
Daniel Amartey,DF,Leicester City,20,"1,610"
Samuel Amo-Ameyaw,MF,Southampton,1,4
Joachim Andersen,DF,Crystal Palace,32,"2,782"
Elliot Anderson,"MF,FW",Newcastle Utd,22,410
Jaidon Anthony,"MF,FW",Bournemouth,30,"1,257"
Michail Antonio,FW,West Ham,33,"1,829"
Antony,FW,Manchester Utd,25,"1,802"
Cameron Archer,"FW,MF",Aston Villa,6,49
Alphonse Areola,GK,West Ham,5,309
Joe Aribo,"MF,FW",Southampton,21,"1,224"
Adam Armstrong,"FW,MF",Southampton,30,"1,335"
Stuart Armstrong,"MF,FW",Southampton,32,"1,408"
Kepa Arrizabalaga,GK,Chelsea,29,"2,565"
Pierre-Emerick Aubameyang,FW,Chelsea,15,554
Ludwig Augustinsson,DF,Aston Villa,3,77
Serge Aurier,DF,Nott'ham Forest,24,"1,943"
Taiwo Awoniyi,FW,Nott'ham Forest,27,"1,404"
Yasin Ayari,MF,Brighton,3,67
André Ayew,"FW,MF",Nott'ham Forest,13,316
Jordan Ayew,"FW,MF",Crystal Palace,38,"2,714"
Luke Ayling,DF,Leeds United,29,"2,054"
César Azpilicueta,DF,Chelsea,25,"1,527"
Benoît Badiashile,DF,Chelsea,11,905
Leon Bailey,"FW,MF",Aston Villa,33,"1,967"
Stefan Bajcetic,MF,Liverpool,11,526
Dominic Ballard,"FW,MF",Southampton,2,26
Patrick Bamford,FW,Leeds United,28,"1,515"
Shandon Baptiste,MF,Brentford,23,618
Harvey Barnes,"FW,MF",Leicester City,34,"2,711"
Gavin Bazunu,GK,Southampton,32,"2,880"
