Player Name,Position,Team,Saves,Save Percentage,Clean Sheet Percentage
Alisson,GK,Liverpool,105,72.1,37.8
Alphonse Areola,GK,West Ham,9,68.8,50.0
Kepa Arrizabalaga,GK,Chelsea,90,73.3,31.0
Gavin Bazunu,GK,Southampton,67,54.2,12.5
Asmir Begović,GK,Everton,4,100.0,100.0
Daniel Bentley,GK,Wolves,10,76.9,0.0
Martin Dúbravka,GK,Newcastle Utd,9,88.9,0.0
Ederson,GK,Manchester City,46,62.3,31.4
Łukasz Fabiański,GK,West Ham,106,70.1,22.2
Fraser Forster,GK,Tottenham,30,60.0,23.1
David de Gea,GK,Manchester Utd,99,71.1,44.7
Vicente Guaita,GK,Crystal Palace,84,72.4,22.2
Dean Henderson,GK,Nott'ham Forest,52,65.9,33.3
Wayne Hennessey,GK,Nott'ham Forest,9,64.3,33.3
Daniel Iversen,GK,Leicester City,38,66.1,8.3
Sam Johnstone,GK,Crystal Palace,25,76.5,33.3
Caoimhín Kelleher,GK,Liverpool,6,60.0,0.0
Bernd Leno,GK,Fulham,142,77.1,22.2
Hugo Lloris,GK,Tottenham,79,67.5,28.0
Emiliano Martínez,GK,Aston Villa,97,74.2,30.6
Alex McCarthy,GK,Southampton,14,46.7,0.0
Edouard Mendy,GK,Chelsea,25,64.1,11.1
Illan Meslier,GK,Leeds United,92,59.5,14.7
Keylor Navas,GK,Nott'ham Forest,51,66.3,5.9
Neto,GK,Bournemouth,100,74.6,22.2
Robin Olsen,GK,Aston Villa,11,63.2,50.0
Stefan Ortega,GK,Manchester City,14,93.3,66.7
Jordan Pickford,GK,Everton,123,71.3,21.6
Nick Pope,GK,Newcastle Utd,85,74.6,37.8
Aaron Ramsdale,GK,Arsenal,94,70.6,36.8
David Raya,GK,Brentford,154,77.7,31.6
Joel Robles,GK,Leeds United,16,66.7,0.0
Marek Rodák,GK,Fulham,2,50.0,50.0
José Sá,GK,Wolves,105,67.1,30.6
Robert Sánchez,GK,Brighton,46,66.2,26.1
Jason Steele,GK,Brighton,36,61.4,40.0
Mark Travers,GK,Bournemouth,36,54.5,18.2
Danny Ward,GK,Leicester City,75,63.0,23.1
Joseph Whitworth,GK,Crystal Palace,5,50.0,0.0
